2022;1;28;14;45;46;145758.64;44.30;30.40;54.44;38.75;42.00;41.63
2022;1;28;14;46;35;158289.02;44.10;30.80;54.69;38.75;42.25;41.94
2022;1;28;14;47;28;156294.36;42.30;33.70;54.25;38.56;42.31;41.19
2022;1;28;14;52;47;152540.25;46.60;28.40;57.75;40.38;44.63;44.38
2022;1;28;15;25;47;136595.23;38.30;40.10;57.88;37.56;40.94;41.25
2022;1;28;15;27;49;139731.47;38.10;40.20;57.81;36.81;41.19;39.50
2022;1;28;15;34;41;135032.17;37.20;42.20;55.88;36.00;42.25;37.69
2022;1;28;15;35;35;135296.34;37.20;42.20;55.56;35.94;41.69;37.00
2022;1;28;15;36;30;134790.48;37.30;42.00;56.19;35.94;42.38;36.75
2022;1;28;15;37;24;133277.77;37.70;41.50;56.63;36.06;42.75;36.69
2022;1;28;15;38;19;132008.25;38.10;40.20;56.75;35.88;41.69;36.50
2022;1;28;15;39;14;130757.47;37.30;41.50;57.38;36.25;41.69;36.56
2022;1;28;15;40;9;129649.98;37.90;41.30;57.75;37.19;40.63;37.19
2022;1;28;15;41;4;127969.72;38.60;40.20;58.31;38.19;39.69;38.19
2022;1;28;15;41;59;130182.64;38.90;38.80;56.81;38.00;37.69;38.56
2022;1;28;15;42;54;128877.47;38.70;38.80;56.50;38.44;37.25;38.63
2022;1;28;15;43;49;125948.14;38.40;39.20;57.31;39.19;37.19;39.13
2022;1;28;15;44;44;127116.34;38.40;39.80;56.63;38.81;36.44;39.06
2022;1;28;15;45;39;126200.73;38.50;39.20;54.31;38.00;36.38;38.75
2022;1;28;15;46;35;125499.35;37.70;40.50;54.44;38.25;37.38;39.06
2022;1;28;15;47;30;126560.65;37.30;41.40;54.31;38.44;37.88;39.13
2022;1;28;15;48;26;125029.04;37.00;42.00;54.44;38.50;38.81;38.94
2022;1;28;15;49;22;123556.88;36.60;43.20;53.31;38.63;38.75;39.06
2022;1;28;15;50;17;124967.88;36.40;42.60;52.81;38.38;38.88;38.94
2022;1;28;15;51;13;123875.17;36.30;42.60;52.13;37.56;38.75;38.19
2022;1;28;15;52;9;123944.02;35.50;44.60;51.56;37.13;38.38;38.13
2022;1;28;15;53;5;123766.22;35.40;45.10;51.94;38.06;38.88;38.63
2022;1;28;15;54;2;123586.59;35.90;44.50;50.69;37.63;38.44;38.44
2022;1;28;15;54;58;121964.66;35.80;44.20;51.00;37.56;38.25;38.31
2022;1;28;15;55;54;122171.16;35.70;44.00;51.69;37.81;38.81;38.75
2022;1;28;15;56;50;120918.56;35.90;44.10;51.00;37.56;38.44;38.63
2022;1;28;15;57;47;120747.03;35.80;43.90;50.44;37.56;38.31;38.44
2022;1;28;15;58;43;120059.25;35.60;44.60;49.88;37.25;38.06;38.25
2022;1;28;15;59;40;118580.61;35.40;45.00;50.44;38.25;39.19;38.75
2022;1;28;16;0;36;116706.57;35.80;44.30;51.31;39.44;40.31;39.06
2022;1;28;16;1;32;116332.27;36.40;43.40;52.06;40.25;41.38;39.19
2022;1;28;16;2;29;116270.30;36.70;42.60;51.81;39.63;40.50;38.88
2022;1;28;16;3;25;115629.05;36.90;42.10;51.31;38.88;39.31;38.44
2022;1;28;16;4;21;115151.67;36.70;42.70;50.13;37.94;38.38;38.25
2022;1;28;16;5;18;114152.27;36.30;43.10;50.00;37.63;38.06;38.00
2022;1;28;16;6;14;111103.66;36.00;44.20;50.38;38.19;38.56;37.94
2022;1;28;16;7;11;111752.23;35.80;44.50;49.81;38.38;38.88;38.13
2022;1;28;16;8;7;111489.38;36.20;44.40;49.50;38.31;38.81;38.19
2022;1;28;16;9;4;110622.71;36.50;43.60;48.63;38.00;38.25;37.94
2022;1;28;16;10;0;112329.87;36.20;43.60;48.63;37.56;37.94;37.69
2022;1;28;16;10;57;110933.84;36.00;44.20;48.25;37.38;37.75;37.56
2022;1;28;16;11;54;110279.21;36.10;44.10;47.88;37.44;37.69;37.44
2022;1;28;16;12;51;109576.93;36.10;44.10;47.06;36.63;36.75;36.88
2022;1;28;16;13;48;109840.02;35.60;44.70;46.25;36.75;36.81;36.81
2022;1;28;16;14;45;108089.71;35.50;45.30;46.19;37.38;37.56;37.13
2022;1;28;16;15;42;107832.69;36.00;44.90;46.56;38.25;38.56;37.44
2022;1;28;16;16;39;106984.63;36.70;43.60;47.00;38.81;39.19;37.69
2022;1;28;16;17;36;104694.49;37.60;41.60;47.06;39.19;39.56;37.75
2022;1;28;16;18;33;103718.16;38.30;40.50;46.69;38.75;39.00;37.50
2022;1;28;16;19;30;104914.28;38.60;39.00;46.19;38.00;38.00;37.19
2022;1;28;16;20;27;103465.12;37.80;40.00;45.63;37.81;37.94;37.13
2022;1;28;16;21;24;102778.57;37.70;40.20;45.44;37.56;37.69;37.06
2022;1;28;16;22;21;102094.92;37.40;40.80;45.44;37.75;38.00;37.06
2022;1;28;16;23;18;99534.66;37.50;40.80;45.25;37.50;37.69;36.88
2022;1;28;16;24;16;98902.06;37.50;40.80;45.13;36.94;36.94;36.50
2022;1;28;16;25;13;97214.41;36.90;41.80;44.81;36.75;36.69;36.31
2022;1;28;16;26;10;97335.05;36.50;43.00;44.19;37.00;36.88;36.31
2022;1;28;16;27;7;96205.95;36.50;43.20;44.44;36.94;36.88;36.19
2022;1;28;16;28;5;95390.62;36.50;43.10;43.81;37.00;36.94;36.25
2022;1;28;16;29;2;96959.62;36.50;43.20;43.50;37.06;37.13;36.31
2022;1;28;16;29;59;95463.91;36.50;43.20;43.50;36.94;36.94;36.19

